"","Var1","Var2","Var3","Freq"
"1","-57.5","-52.5","1975",0
"2","-52.5","-52.5","1975",0
"3","-47.5","-52.5","1975",0
"4","-42.5","-52.5","1975",0
"5","-37.5","-52.5","1975",2
"6","-32.5","-52.5","1975",226
"7","-27.5","-52.5","1975",0
"8","-22.5","-52.5","1975",0
"9","-17.5","-52.5","1975",0
"10","-12.5","-52.5","1975",0
"11","-7.5","-52.5","1975",0
"12","-2.5","-52.5","1975",0
"13","2.5","-52.5","1975",0
"14","7.5","-52.5","1975",0
"15","12.5","-52.5","1975",0
"16","-57.5","-47.5","1975",0
"17","-52.5","-47.5","1975",0
"18","-47.5","-47.5","1975",0
"19","-42.5","-47.5","1975",0
"20","-37.5","-47.5","1975",7
"21","-32.5","-47.5","1975",170
"22","-27.5","-47.5","1975",64
"23","-22.5","-47.5","1975",0
"24","-17.5","-47.5","1975",0
"25","-12.5","-47.5","1975",0
"26","-7.5","-47.5","1975",0
"27","-2.5","-47.5","1975",0
"28","2.5","-47.5","1975",0
"29","7.5","-47.5","1975",0
"30","12.5","-47.5","1975",0
"31","-57.5","-42.5","1975",0
"32","-52.5","-42.5","1975",0
"33","-47.5","-42.5","1975",0
"34","-42.5","-42.5","1975",0
"35","-37.5","-42.5","1975",0
"36","-32.5","-42.5","1975",3
"37","-27.5","-42.5","1975",0
"38","-22.5","-42.5","1975",23
"39","-17.5","-42.5","1975",0
"40","-12.5","-42.5","1975",0
"41","-7.5","-42.5","1975",0
"42","-2.5","-42.5","1975",0
"43","2.5","-42.5","1975",0
"44","7.5","-42.5","1975",0
"45","12.5","-42.5","1975",0
"46","-57.5","-37.5","1975",0
"47","-52.5","-37.5","1975",0
"48","-47.5","-37.5","1975",0
"49","-42.5","-37.5","1975",0
"50","-37.5","-37.5","1975",4
"51","-32.5","-37.5","1975",365
"52","-27.5","-37.5","1975",0
"53","-22.5","-37.5","1975",23
"54","-17.5","-37.5","1975",8
"55","-12.5","-37.5","1975",0
"56","-7.5","-37.5","1975",0
"57","-2.5","-37.5","1975",20
"58","2.5","-37.5","1975",0
"59","7.5","-37.5","1975",0
"60","12.5","-37.5","1975",0
"61","-57.5","-32.5","1975",0
"62","-52.5","-32.5","1975",0
"63","-47.5","-32.5","1975",0
"64","-42.5","-32.5","1975",0
"65","-37.5","-32.5","1975",0
"66","-32.5","-32.5","1975",0
"67","-27.5","-32.5","1975",0
"68","-22.5","-32.5","1975",0
"69","-17.5","-32.5","1975",3
"70","-12.5","-32.5","1975",0
"71","-7.5","-32.5","1975",8
"72","-2.5","-32.5","1975",53
"73","2.5","-32.5","1975",1
"74","7.5","-32.5","1975",0
"75","12.5","-32.5","1975",0
"76","-57.5","-27.5","1975",0
"77","-52.5","-27.5","1975",0
"78","-47.5","-27.5","1975",0
"79","-42.5","-27.5","1975",0
"80","-37.5","-27.5","1975",0
"81","-32.5","-27.5","1975",0
"82","-27.5","-27.5","1975",0
"83","-22.5","-27.5","1975",0
"84","-17.5","-27.5","1975",0
"85","-12.5","-27.5","1975",0
"86","-7.5","-27.5","1975",0
"87","-2.5","-27.5","1975",0
"88","2.5","-27.5","1975",0
"89","7.5","-27.5","1975",0
"90","12.5","-27.5","1975",0
"91","-57.5","-22.5","1975",0
"92","-52.5","-22.5","1975",0
"93","-47.5","-22.5","1975",0
"94","-42.5","-22.5","1975",0
"95","-37.5","-22.5","1975",0
"96","-32.5","-22.5","1975",0
"97","-27.5","-22.5","1975",0
"98","-22.5","-22.5","1975",0
"99","-17.5","-22.5","1975",0
"100","-12.5","-22.5","1975",0
"101","-7.5","-22.5","1975",0
"102","-2.5","-22.5","1975",0
"103","2.5","-22.5","1975",0
"104","7.5","-22.5","1975",0
"105","12.5","-22.5","1975",0
"106","-57.5","-17.5","1975",0
"107","-52.5","-17.5","1975",0
"108","-47.5","-17.5","1975",0
"109","-42.5","-17.5","1975",0
"110","-37.5","-17.5","1975",0
"111","-32.5","-17.5","1975",0
"112","-27.5","-17.5","1975",0
"113","-22.5","-17.5","1975",0
"114","-17.5","-17.5","1975",0
"115","-12.5","-17.5","1975",0
"116","-7.5","-17.5","1975",0
"117","-2.5","-17.5","1975",0
"118","2.5","-17.5","1975",0
"119","7.5","-17.5","1975",0
"120","12.5","-17.5","1975",0
"121","-57.5","-12.5","1975",0
"122","-52.5","-12.5","1975",0
"123","-47.5","-12.5","1975",0
"124","-42.5","-12.5","1975",0
"125","-37.5","-12.5","1975",0
"126","-32.5","-12.5","1975",0
"127","-27.5","-12.5","1975",0
"128","-22.5","-12.5","1975",0
"129","-17.5","-12.5","1975",0
"130","-12.5","-12.5","1975",0
"131","-7.5","-12.5","1975",0
"132","-2.5","-12.5","1975",0
"133","2.5","-12.5","1975",0
"134","7.5","-12.5","1975",0
"135","12.5","-12.5","1975",0
"136","-57.5","-7.5","1975",0
"137","-52.5","-7.5","1975",0
"138","-47.5","-7.5","1975",0
"139","-42.5","-7.5","1975",0
"140","-37.5","-7.5","1975",0
"141","-32.5","-7.5","1975",1
"142","-27.5","-7.5","1975",0
"143","-22.5","-7.5","1975",0
"144","-17.5","-7.5","1975",0
"145","-12.5","-7.5","1975",0
"146","-7.5","-7.5","1975",0
"147","-2.5","-7.5","1975",0
"148","2.5","-7.5","1975",0
"149","7.5","-7.5","1975",0
"150","12.5","-7.5","1975",0
"151","-57.5","-2.5","1975",0
"152","-52.5","-2.5","1975",0
"153","-47.5","-2.5","1975",0
"154","-42.5","-2.5","1975",0
"155","-37.5","-2.5","1975",0
"156","-32.5","-2.5","1975",0
"157","-27.5","-2.5","1975",0
"158","-22.5","-2.5","1975",0
"159","-17.5","-2.5","1975",0
"160","-12.5","-2.5","1975",0
"161","-7.5","-2.5","1975",0
"162","-2.5","-2.5","1975",0
"163","2.5","-2.5","1975",0
"164","7.5","-2.5","1975",0
"165","12.5","-2.5","1975",0
"166","-57.5","2.5","1975",0
"167","-52.5","2.5","1975",0
"168","-47.5","2.5","1975",0
"169","-42.5","2.5","1975",0
"170","-37.5","2.5","1975",0
"171","-32.5","2.5","1975",0
"172","-27.5","2.5","1975",0
"173","-22.5","2.5","1975",0
"174","-17.5","2.5","1975",0
"175","-12.5","2.5","1975",0
"176","-7.5","2.5","1975",0
"177","-2.5","2.5","1975",0
"178","2.5","2.5","1975",0
"179","7.5","2.5","1975",0
"180","12.5","2.5","1975",0
"181","-57.5","-52.5","1980",0
"182","-52.5","-52.5","1980",0
"183","-47.5","-52.5","1980",0
"184","-42.5","-52.5","1980",0
"185","-37.5","-52.5","1980",7
"186","-32.5","-52.5","1980",958
"187","-27.5","-52.5","1980",0
"188","-22.5","-52.5","1980",0
"189","-17.5","-52.5","1980",0
"190","-12.5","-52.5","1980",0
"191","-7.5","-52.5","1980",0
"192","-2.5","-52.5","1980",0
"193","2.5","-52.5","1980",0
"194","7.5","-52.5","1980",0
"195","12.5","-52.5","1980",0
"196","-57.5","-47.5","1980",2
"197","-52.5","-47.5","1980",0
"198","-47.5","-47.5","1980",0
"199","-42.5","-47.5","1980",0
"200","-37.5","-47.5","1980",10
"201","-32.5","-47.5","1980",769
"202","-27.5","-47.5","1980",406
"203","-22.5","-47.5","1980",0
"204","-17.5","-47.5","1980",0
"205","-12.5","-47.5","1980",0
"206","-7.5","-47.5","1980",0
"207","-2.5","-47.5","1980",0
"208","2.5","-47.5","1980",0
"209","7.5","-47.5","1980",0
"210","12.5","-47.5","1980",0
"211","-57.5","-42.5","1980",0
"212","-52.5","-42.5","1980",0
"213","-47.5","-42.5","1980",0
"214","-42.5","-42.5","1980",0
"215","-37.5","-42.5","1980",1
"216","-32.5","-42.5","1980",4
"217","-27.5","-42.5","1980",5
"218","-22.5","-42.5","1980",7
"219","-17.5","-42.5","1980",0
"220","-12.5","-42.5","1980",0
"221","-7.5","-42.5","1980",0
"222","-2.5","-42.5","1980",0
"223","2.5","-42.5","1980",0
"224","7.5","-42.5","1980",0
"225","12.5","-42.5","1980",0
"226","-57.5","-37.5","1980",0
"227","-52.5","-37.5","1980",1
"228","-47.5","-37.5","1980",0
"229","-42.5","-37.5","1980",0
"230","-37.5","-37.5","1980",6
"231","-32.5","-37.5","1980",758
"232","-27.5","-37.5","1980",0
"233","-22.5","-37.5","1980",10
"234","-17.5","-37.5","1980",5
"235","-12.5","-37.5","1980",11
"236","-7.5","-37.5","1980",0
"237","-2.5","-37.5","1980",0
"238","2.5","-37.5","1980",0
"239","7.5","-37.5","1980",0
"240","12.5","-37.5","1980",0
"241","-57.5","-32.5","1980",0
"242","-52.5","-32.5","1980",9
"243","-47.5","-32.5","1980",0
"244","-42.5","-32.5","1980",0
"245","-37.5","-32.5","1980",0
"246","-32.5","-32.5","1980",1
"247","-27.5","-32.5","1980",0
"248","-22.5","-32.5","1980",0
"249","-17.5","-32.5","1980",0
"250","-12.5","-32.5","1980",17
"251","-7.5","-32.5","1980",19
"252","-2.5","-32.5","1980",45
"253","2.5","-32.5","1980",0
"254","7.5","-32.5","1980",0
"255","12.5","-32.5","1980",0
"256","-57.5","-27.5","1980",0
"257","-52.5","-27.5","1980",0
"258","-47.5","-27.5","1980",3
"259","-42.5","-27.5","1980",0
"260","-37.5","-27.5","1980",0
"261","-32.5","-27.5","1980",1
"262","-27.5","-27.5","1980",1
"263","-22.5","-27.5","1980",0
"264","-17.5","-27.5","1980",0
"265","-12.5","-27.5","1980",0
"266","-7.5","-27.5","1980",7
"267","-2.5","-27.5","1980",18
"268","2.5","-27.5","1980",0
"269","7.5","-27.5","1980",0
"270","12.5","-27.5","1980",0
"271","-57.5","-22.5","1980",0
"272","-52.5","-22.5","1980",0
"273","-47.5","-22.5","1980",0
"274","-42.5","-22.5","1980",0
"275","-37.5","-22.5","1980",0
"276","-32.5","-22.5","1980",0
"277","-27.5","-22.5","1980",0
"278","-22.5","-22.5","1980",0
"279","-17.5","-22.5","1980",0
"280","-12.5","-22.5","1980",0
"281","-7.5","-22.5","1980",94
"282","-2.5","-22.5","1980",0
"283","2.5","-22.5","1980",0
"284","7.5","-22.5","1980",0
"285","12.5","-22.5","1980",0
"286","-57.5","-17.5","1980",0
"287","-52.5","-17.5","1980",0
"288","-47.5","-17.5","1980",0
"289","-42.5","-17.5","1980",0
"290","-37.5","-17.5","1980",0
"291","-32.5","-17.5","1980",1
"292","-27.5","-17.5","1980",0
"293","-22.5","-17.5","1980",0
"294","-17.5","-17.5","1980",0
"295","-12.5","-17.5","1980",0
"296","-7.5","-17.5","1980",37
"297","-2.5","-17.5","1980",0
"298","2.5","-17.5","1980",0
"299","7.5","-17.5","1980",0
"300","12.5","-17.5","1980",0
"301","-57.5","-12.5","1980",0
"302","-52.5","-12.5","1980",0
"303","-47.5","-12.5","1980",0
"304","-42.5","-12.5","1980",0
"305","-37.5","-12.5","1980",0
"306","-32.5","-12.5","1980",2
"307","-27.5","-12.5","1980",0
"308","-22.5","-12.5","1980",0
"309","-17.5","-12.5","1980",0
"310","-12.5","-12.5","1980",0
"311","-7.5","-12.5","1980",37
"312","-2.5","-12.5","1980",0
"313","2.5","-12.5","1980",0
"314","7.5","-12.5","1980",0
"315","12.5","-12.5","1980",0
"316","-57.5","-7.5","1980",0
"317","-52.5","-7.5","1980",0
"318","-47.5","-7.5","1980",0
"319","-42.5","-7.5","1980",0
"320","-37.5","-7.5","1980",0
"321","-32.5","-7.5","1980",2
"322","-27.5","-7.5","1980",0
"323","-22.5","-7.5","1980",0
"324","-17.5","-7.5","1980",0
"325","-12.5","-7.5","1980",0
"326","-7.5","-7.5","1980",0
"327","-2.5","-7.5","1980",0
"328","2.5","-7.5","1980",0
"329","7.5","-7.5","1980",0
"330","12.5","-7.5","1980",0
"331","-57.5","-2.5","1980",0
"332","-52.5","-2.5","1980",0
"333","-47.5","-2.5","1980",0
"334","-42.5","-2.5","1980",0
"335","-37.5","-2.5","1980",1
"336","-32.5","-2.5","1980",15
"337","-27.5","-2.5","1980",0
"338","-22.5","-2.5","1980",0
"339","-17.5","-2.5","1980",0
"340","-12.5","-2.5","1980",0
"341","-7.5","-2.5","1980",5
"342","-2.5","-2.5","1980",0
"343","2.5","-2.5","1980",0
"344","7.5","-2.5","1980",0
"345","12.5","-2.5","1980",0
"346","-57.5","2.5","1980",0
"347","-52.5","2.5","1980",0
"348","-47.5","2.5","1980",0
"349","-42.5","2.5","1980",0
"350","-37.5","2.5","1980",0
"351","-32.5","2.5","1980",0
"352","-27.5","2.5","1980",0
"353","-22.5","2.5","1980",0
"354","-17.5","2.5","1980",0
"355","-12.5","2.5","1980",0
"356","-7.5","2.5","1980",0
"357","-2.5","2.5","1980",0
"358","2.5","2.5","1980",0
"359","7.5","2.5","1980",0
"360","12.5","2.5","1980",0
"361","-57.5","-52.5","1985",0
"362","-52.5","-52.5","1985",0
"363","-47.5","-52.5","1985",0
"364","-42.5","-52.5","1985",0
"365","-37.5","-52.5","1985",8
"366","-32.5","-52.5","1985",878
"367","-27.5","-52.5","1985",0
"368","-22.5","-52.5","1985",0
"369","-17.5","-52.5","1985",0
"370","-12.5","-52.5","1985",0
"371","-7.5","-52.5","1985",0
"372","-2.5","-52.5","1985",0
"373","2.5","-52.5","1985",0
"374","7.5","-52.5","1985",0
"375","12.5","-52.5","1985",0
"376","-57.5","-47.5","1985",0
"377","-52.5","-47.5","1985",0
"378","-47.5","-47.5","1985",0
"379","-42.5","-47.5","1985",10
"380","-37.5","-47.5","1985",25
"381","-32.5","-47.5","1985",620
"382","-27.5","-47.5","1985",111
"383","-22.5","-47.5","1985",0
"384","-17.5","-47.5","1985",0
"385","-12.5","-47.5","1985",0
"386","-7.5","-47.5","1985",0
"387","-2.5","-47.5","1985",0
"388","2.5","-47.5","1985",0
"389","7.5","-47.5","1985",0
"390","12.5","-47.5","1985",0
"391","-57.5","-42.5","1985",0
"392","-52.5","-42.5","1985",0
"393","-47.5","-42.5","1985",0
"394","-42.5","-42.5","1985",0
"395","-37.5","-42.5","1985",0
"396","-32.5","-42.5","1985",5
"397","-27.5","-42.5","1985",4
"398","-22.5","-42.5","1985",3
"399","-17.5","-42.5","1985",0
"400","-12.5","-42.5","1985",0
"401","-7.5","-42.5","1985",0
"402","-2.5","-42.5","1985",1
"403","2.5","-42.5","1985",21
"404","7.5","-42.5","1985",0
"405","12.5","-42.5","1985",0
"406","-57.5","-37.5","1985",0
"407","-52.5","-37.5","1985",0
"408","-47.5","-37.5","1985",0
"409","-42.5","-37.5","1985",3
"410","-37.5","-37.5","1985",2
"411","-32.5","-37.5","1985",787
"412","-27.5","-37.5","1985",0
"413","-22.5","-37.5","1985",0
"414","-17.5","-37.5","1985",0
"415","-12.5","-37.5","1985",2
"416","-7.5","-37.5","1985",0
"417","-2.5","-37.5","1985",226
"418","2.5","-37.5","1985",0
"419","7.5","-37.5","1985",0
"420","12.5","-37.5","1985",0
"421","-57.5","-32.5","1985",0
"422","-52.5","-32.5","1985",0
"423","-47.5","-32.5","1985",0
"424","-42.5","-32.5","1985",0
"425","-37.5","-32.5","1985",0
"426","-32.5","-32.5","1985",7
"427","-27.5","-32.5","1985",0
"428","-22.5","-32.5","1985",2
"429","-17.5","-32.5","1985",8
"430","-12.5","-32.5","1985",10
"431","-7.5","-32.5","1985",497
"432","-2.5","-32.5","1985",646
"433","2.5","-32.5","1985",61
"434","7.5","-32.5","1985",1
"435","12.5","-32.5","1985",0
"436","-57.5","-27.5","1985",0
"437","-52.5","-27.5","1985",0
"438","-47.5","-27.5","1985",0
"439","-42.5","-27.5","1985",0
"440","-37.5","-27.5","1985",0
"441","-32.5","-27.5","1985",0
"442","-27.5","-27.5","1985",0
"443","-22.5","-27.5","1985",0
"444","-17.5","-27.5","1985",1
"445","-12.5","-27.5","1985",0
"446","-7.5","-27.5","1985",79
"447","-2.5","-27.5","1985",14
"448","2.5","-27.5","1985",46
"449","7.5","-27.5","1985",1
"450","12.5","-27.5","1985",0
"451","-57.5","-22.5","1985",0
"452","-52.5","-22.5","1985",0
"453","-47.5","-22.5","1985",0
"454","-42.5","-22.5","1985",0
"455","-37.5","-22.5","1985",0
"456","-32.5","-22.5","1985",0
"457","-27.5","-22.5","1985",0
"458","-22.5","-22.5","1985",0
"459","-17.5","-22.5","1985",0
"460","-12.5","-22.5","1985",1
"461","-7.5","-22.5","1985",160
"462","-2.5","-22.5","1985",9
"463","2.5","-22.5","1985",0
"464","7.5","-22.5","1985",0
"465","12.5","-22.5","1985",0
"466","-57.5","-17.5","1985",0
"467","-52.5","-17.5","1985",0
"468","-47.5","-17.5","1985",0
"469","-42.5","-17.5","1985",0
"470","-37.5","-17.5","1985",0
"471","-32.5","-17.5","1985",0
"472","-27.5","-17.5","1985",0
"473","-22.5","-17.5","1985",0
"474","-17.5","-17.5","1985",0
"475","-12.5","-17.5","1985",0
"476","-7.5","-17.5","1985",138
"477","-2.5","-17.5","1985",5
"478","2.5","-17.5","1985",0
"479","7.5","-17.5","1985",0
"480","12.5","-17.5","1985",0
"481","-57.5","-12.5","1985",0
"482","-52.5","-12.5","1985",0
"483","-47.5","-12.5","1985",0
"484","-42.5","-12.5","1985",0
"485","-37.5","-12.5","1985",0
"486","-32.5","-12.5","1985",0
"487","-27.5","-12.5","1985",0
"488","-22.5","-12.5","1985",0
"489","-17.5","-12.5","1985",0
"490","-12.5","-12.5","1985",0
"491","-7.5","-12.5","1985",3
"492","-2.5","-12.5","1985",6
"493","2.5","-12.5","1985",10
"494","7.5","-12.5","1985",0
"495","12.5","-12.5","1985",0
"496","-57.5","-7.5","1985",0
"497","-52.5","-7.5","1985",0
"498","-47.5","-7.5","1985",0
"499","-42.5","-7.5","1985",0
"500","-37.5","-7.5","1985",0
"501","-32.5","-7.5","1985",1
"502","-27.5","-7.5","1985",1
"503","-22.5","-7.5","1985",0
"504","-17.5","-7.5","1985",1
"505","-12.5","-7.5","1985",27
"506","-7.5","-7.5","1985",30
"507","-2.5","-7.5","1985",78
"508","2.5","-7.5","1985",0
"509","7.5","-7.5","1985",0
"510","12.5","-7.5","1985",0
"511","-57.5","-2.5","1985",0
"512","-52.5","-2.5","1985",0
"513","-47.5","-2.5","1985",0
"514","-42.5","-2.5","1985",0
"515","-37.5","-2.5","1985",0
"516","-32.5","-2.5","1985",0
"517","-27.5","-2.5","1985",0
"518","-22.5","-2.5","1985",0
"519","-17.5","-2.5","1985",1
"520","-12.5","-2.5","1985",9
"521","-7.5","-2.5","1985",25
"522","-2.5","-2.5","1985",56
"523","2.5","-2.5","1985",0
"524","7.5","-2.5","1985",0
"525","12.5","-2.5","1985",0
"526","-57.5","2.5","1985",0
"527","-52.5","2.5","1985",0
"528","-47.5","2.5","1985",0
"529","-42.5","2.5","1985",0
"530","-37.5","2.5","1985",0
"531","-32.5","2.5","1985",0
"532","-27.5","2.5","1985",0
"533","-22.5","2.5","1985",0
"534","-17.5","2.5","1985",0
"535","-12.5","2.5","1985",0
"536","-7.5","2.5","1985",0
"537","-2.5","2.5","1985",0
"538","2.5","2.5","1985",0
"539","7.5","2.5","1985",0
"540","12.5","2.5","1985",0
"541","-57.5","-52.5","1990",0
"542","-52.5","-52.5","1990",0
"543","-47.5","-52.5","1990",0
"544","-42.5","-52.5","1990",0
"545","-37.5","-52.5","1990",7
"546","-32.5","-52.5","1990",482
"547","-27.5","-52.5","1990",0
"548","-22.5","-52.5","1990",0
"549","-17.5","-52.5","1990",0
"550","-12.5","-52.5","1990",0
"551","-7.5","-52.5","1990",0
